absolute_magnitude,est_dia_in_km_max,epoch_date_close_approach,relative_velocity_km_per_hr,miss_dist_astronomical,orbit_uncertainity,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis,inclination,asc_node_longitude,perihelion_distance,mean_anomaly,hazardous
21,0.3750075218,798534000000,93793.9698381571,0.4006429748,1,0.175606,2458000.5,0.5458440282992364,1.487152224729361,10.42495328796337,114.7292730820402,0.6753990636889152,144.331764664412,False
20.9,0.3926810818,798534000000,69367.0052395429,0.4392369614,0,0.0337336,2458000.5,0.523263108804333,1.182148764701506,23.27720540354022,65.77208245525733,0.5635739270145939,164.4894216808606,True
19.4,0.7835017643,798534000000,33497.5158868348,0.0362417486,1,0.020437,2458000.5,0.1290153472152782,1.061191066459368,15.0900047631558,215.4428312993687,0.924281132558361,121.790814642756,True
18.9,0.9863702813,799916400000,51633.110464672,0.2269234082,0,0.00433054,2458000.5,0.5324847482604941,2.10401812174821,8.168524524209124,299.0216815675574,0.9836605618535967,104.1327876318541,True
24,0.0941976306,799916400000,39036.7263062466,0.3079150576,3,0.0666464,2458000.5,0.2473747528584077,0.9352170073812008,7.028450269921951,204.1993482802674,0.7038679313112967,247.60414775645,False
21.494,0.2987032712,799916400000,56443.3093445288,0.1947745932,5,0.0739088,2458000.5,0.3838850579102436,0.8740622180160318,10.8683759590036,100.3027572519904,0.5385227928357914,38.2553300025332,False
17.4,1.9680674509,800521200000,132850.0340120192,0.3090826956,0,0.0508661,2458000.5,0.5639780444598699,1.723590507735431,53.82827282376167,38.98727038019353,0.7515233037332082,325.3972971861633,False
22.1,0.2259643771,800521200000,56869.5062562905,0.1834604628,0,0.0549144,2458000.5,0.1538369907726766,1.157817149428843,31.0424516089619,49.31999676585112,0.9797020432957113,267.2300401028926,False
21.6,0.2844722965,800521200000,73042.032156736,0.2034854101,0,0.0812573,2458000.5,0.4765100329390353,1.253468714046949,5.80092536793395,191.2587796617734,0.6561782958283874,281.3684518532314,False
20.5,0.4721064988,800521200000,71477.4622295909,0.1496882423,1,0.117551,2458000.5,0.526542700061064,0.8963389405575244,20.13021458154914,38.78160579508243,0.424378214626492,27.86736522773487,False
21,0.3750075218,800521200000,88985.7187613528,0.3425756907,2,0.00215466,2458000.5,0.5332462604352894,1.653696612656535,7.502275135786705,74.49124208498932,0.7718690780629323,153.2259944718528,True
22.2,0.2157943048,800521200000,41027.7681871315,0.2338387796,1,0.0499383,2458000.5,0.4988696932157258,1.100327266788939,10.78773208277203,16.98040476322838,0.5514073407690427,165.1195034118488,False
20.6,0.4508582062,801126000000,55639.5116057431,0.1096739132,7,0.0947896,2458000.5,0.4908497989594158,1.661650553101948,22.1301664250267,72.21757892144072,0.8460297131710548,170.8032501941032,False
24.4,0.0783501764,801126000000,52866.635117418,0.3870564736,0,0.021176,2458000.5,0.1896829317424602,1.233608012173821,5.565071112894867,215.9032878169585,0.9996136278037018,121.6788610599896,False
18.8,1.0328564805,801126000000,70330.2149148512,0.346919794,2,0.0613713,2458000.5,0.591282535960133,2.269587545102286,28.17732240810394,95.203000551295,0.9276200658506738,189.5306371002728,False
